"publisherName","game","gameName"
"Capcom","http://dbpedia.org/resource/Bionic_Commando_Rearmed_2","Bionic Commando Rearmed 2"
"Capcom","http://dbpedia.org/resource/Black_Tiger_(video_game)","Black Tiger (video game)"
"Capcom","http://dbpedia.org/resource/Bonkers_(SNES_video_game)","Bonkers (SNES video game)"
"Capcom","http://dbpedia.org/resource/Breath_of_Fire_6","Breath of Fire 6"
"Capcom","http://dbpedia.org/resource/Breath_of_Fire_III","Breath of Fire III"
"Capcom","http://dbpedia.org/resource/Breath_of_Fire:_Dragon_Quarter","Breath of Fire: Dragon Quarter"
"Capcom","http://dbpedia.org/resource/Buster_Bros._Collection","Buster Bros. Collection"
"Capcom","http://dbpedia.org/resource/Cadillacs_and_Dinosaurs_(video_game)","Cadillacs and Dinosaurs (video game)"
"Capcom","http://dbpedia.org/resource/Cannon_Spike","Cannon Spike"
"Capcom","http://dbpedia.org/resource/Capcom_Arcade_Cabinet","Capcom Arcade Cabinet"
"Capcom","http://dbpedia.org/resource/Capcom_Arcade_Stadium","Capcom Arcade Stadium"
"Capcom","http://dbpedia.org/resource/Capcom_Beat_'Em_Up_Bundle","Capcom Beat 'Em Up Bundle"
"Capcom","http://dbpedia.org/resource/Capcom_Bowling","Capcom Bowling"
"Capcom","http://dbpedia.org/resource/Capcom_Classics_Collection","Capcom Classics Collection"
"Capcom","http://dbpedia.org/resource/Capcom_Digital_Collection","Capcom Digital Collection"
"Capcom","http://dbpedia.org/resource/Capcom_Fighting_All-Stars","Capcom Fighting All-Stars"
"Capcom","http://dbpedia.org/resource/Capcom_Fighting_Collection","Capcom Fighting Collection"
"Capcom","http://dbpedia.org/resource/Capcom_Fighting_Evolution","Capcom Fighting Evolution"
"Capcom","http://dbpedia.org/resource/Capcom_Puzzle_World","Capcom Puzzle World"
"Capcom","http://dbpedia.org/resource/Capcom_vs._SNK_2","Capcom vs. SNK 2"
"Capcom","http://dbpedia.org/resource/Capcom_vs._SNK:_Millennium_Fight_2000","Capcom vs. SNK: Millennium Fight 2000"
"Capcom","http://dbpedia.org/resource/Capcom's_Gold_Medal_Challenge_'92","Capcom's Gold Medal Challenge '92"
"Capcom","http://dbpedia.org/resource/Capcom's_MVP_Football","Capcom's MVP Football"
"Capcom","http://dbpedia.org/resource/Captain_Commando","Captain Commando"
"Capcom","http://dbpedia.org/resource/Carrier_Air_Wing_(video_game)","Carrier Air Wing (video game)"
"Capcom","http://dbpedia.org/resource/Catan:_Cities_&_Knights","Catan: Cities & Knights"
"Capcom","http://dbpedia.org/resource/Chaos_Legion","Chaos Legion"
"Capcom","http://dbpedia.org/resource/Cherry_Tree_High_Comedy_Club","Cherry Tree High Comedy Club"
"Capcom","http://dbpedia.org/resource/Chip_'n_Dale_Rescue_Rangers_(video_game)","Chip 'n Dale Rescue Rangers (video game)"
"Capcom","http://dbpedia.org/resource/Chip_'n_Dale_Rescue_Rangers_2","Chip 'n Dale Rescue Rangers 2"
"Capcom","http://dbpedia.org/resource/Clock_Tower_3","Clock Tower 3"
"Capcom","http://dbpedia.org/resource/Code_Name:_Viper","Code Name: Viper"
"Capcom","http://dbpedia.org/resource/Crimson_Tears","Crimson Tears"
"Capcom","http://dbpedia.org/resource/Cyberbots:_Full_Metal_Madness","Cyberbots: Full Metal Madness"
"Capcom","http://dbpedia.org/resource/Dark_Void","Dark Void"
"Capcom","http://dbpedia.org/resource/Dark_Void_Zero","Dark Void Zero"
"Capcom","http://dbpedia.org/resource/Darkstalkers_3","Darkstalkers 3"
"Capcom","http://dbpedia.org/resource/Darkstalkers_Chronicle:_The_Chaos_Tower","Darkstalkers Chronicle: The Chaos Tower"
"Capcom","http://dbpedia.org/resource/Darkstalkers_Resurrection","Darkstalkers Resurrection"
