"game","name","releaseDate","developer","publisher","platform","genre","series","countryOfOrigin","mainSubject","officialWebsite","designer","composer","character","gameMode"
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Adobe_Flash","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Electronic_Arts","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Microsoft_Windows","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Electronic_Arts","http://dbpedia.org/resource/Android_(operating_system)","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Android_(operating_system)","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Electronic_Arts","http://dbpedia.org/resource/Java_ME","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Java_ME","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Electronic_Arts","http://dbpedia.org/resource/Windows_Mobile","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Windows_Mobile","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Electronic_Arts","http://dbpedia.org/resource/Palm_OS","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
"http://dbpedia.org/resource/Bejeweled","Bejeweled",2001-05-30,"http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/PopCap_Games","http://dbpedia.org/resource/Palm_OS","http://dbpedia.org/resource/Puzzle_video_game","http://dbpedia.org/resource/Bejeweled_(series)",,,"https://www.ea.com/games/bejeweled","http://dbpedia.org/resource/Jason_Kapalka","http://dbpedia.org/resource/Peter_Hajba",,
